VCC,V,C1,C1 Manner,C2,C2 Manner,SSP Status,Sonority Difference
IVSH,I,V,Fricative,SH,Fricative,Violate,0
OVSH,O,V,Fricative,SH,Fricative,Violate,0
UVSH,U,V,Fricative,SH,Fricative,Violate,0
AVZH,A,V,Fricative,ZH,Fricative,Violate,0
EVZH,E,V,Fricative,ZH,Fricative,Violate,0
IVZH,I,V,Fricative,ZH,Fricative,Violate,0
OVZH,O,V,Fricative,ZH,Fricative,Violate,0
UVZH,U,V,Fricative,ZH,Fricative,Violate,0
AVH,A,V,Fricative,H,Fricative,Violate,0
EVH,E,V,Fricative,H,Fricative,Violate,0
IVH,I,V,Fricative,H,Fricative,Violate,0
OVH,O,V,Fricative,H,Fricative,Violate,0
UVH,U,V,Fricative,H,Fricative,Violate,0
AVCH,A,V,Fricative,CH,Affricate,Violate,1
EVCH,E,V,Fricative,CH,Affricate,Violate,1
IVCH,I,V,Fricative,CH,Affricate,Violate,1
OVCH,O,V,Fricative,CH,Affricate,Violate,1
UVCH,U,V,Fricative,CH,Affricate,Violate,1
AVJH,A,V,Fricative,JH,Affricate,Violate,1
EVJH,E,V,Fricative,JH,Affricate,Violate,1
IVJH,I,V,Fricative,JH,Affricate,Violate,1
OVJH,O,V,Fricative,JH,Affricate,Violate,1
UVJH,U,V,Fricative,JH,Affricate,Violate,1
AVM,A,V,Fricative,M,Nasal,Violate,2
EVM,E,V,Fricative,M,Nasal,Violate,2
IVM,I,V,Fricative,M,Nasal,Violate,2
OVM,O,V,Fricative,M,Nasal,Violate,2
UVM,U,V,Fricative,M,Nasal,Violate,2
AVN,A,V,Fricative,N,Nasal,Violate,2
EVN,E,V,Fricative,N,Nasal,Violate,2
IVN,I,V,Fricative,N,Nasal,Violate,2
OVN,O,V,Fricative,N,Nasal,Violate,2
UVN,U,V,Fricative,N,Nasal,Violate,2
AVNG,A,V,Fricative,NG,Nasal,Violate,2
EVNG,E,V,Fricative,NG,Nasal,Violate,2
IVNG,I,V,Fricative,NG,Nasal,Violate,2
OVNG,O,V,Fricative,NG,Nasal,Violate,2
UVNG,U,V,Fricative,NG,Nasal,Violate,2
AVL,A,V,Fricative,L,Liquid,Violate,3
EVL,E,V,Fricative,L,Liquid,Violate,3
IVL,I,V,Fricative,L,Liquid,Violate,3
OVL,O,V,Fricative,L,Liquid,Violate,3
UVL,U,V,Fricative,L,Liquid,Violate,3
AVR,A,V,Fricative,R,Liquid,Violate,3
EVR,E,V,Fricative,R,Liquid,Violate,3
IVR,I,V,Fricative,R,Liquid,Violate,3
OVR,O,V,Fricative,R,Liquid,Violate,3
UVR,U,V,Fricative,R,Liquid,Violate,3
AVY,A,V,Fricative,Y,Glide,Violate,4
EVY,E,V,Fricative,Y,Glide,Violate,4
IVY,I,V,Fricative,Y,Glide,Violate,4
OVY,O,V,Fricative,Y,Glide,Violate,4
UVY,U,V,Fricative,Y,Glide,Violate,4
AVW,A,V,Fricative,W,Glide,Violate,4
EVW,E,V,Fricative,W,Glide,Violate,4
IVW,I,V,Fricative,W,Glide,Violate,4
OVW,O,V,Fricative,W,Glide,Violate,4
UVW,U,V,Fricative,W,Glide,Violate,4
ATHF,A,TH,Fricative,F,Fricative,Violate,0
ETHF,E,TH,Fricative,F,Fricative,Violate,0
ITHF,I,TH,Fricative,F,Fricative,Violate,0
OTHF,O,TH,Fricative,F,Fricative,Violate,0
UTHF,U,TH,Fricative,F,Fricative,Violate,0
ATHV,A,TH,Fricative,V,Fricative,Violate,0
ETHV,E,TH,Fricative,V,Fricative,Violate,0
ITHV,I,TH,Fricative,V,Fricative,Violate,0
OTHV,O,TH,Fricative,V,Fricative,Violate,0
UTHV,U,TH,Fricative,V,Fricative,Violate,0
ATHDH,A,TH,Fricative,DH,Fricative,Violate,0
ETHDH,E,TH,Fricative,DH,Fricative,Violate,0
ITHDH,I,TH,Fricative,DH,Fricative,Violate,0
OTHDH,O,TH,Fricative,DH,Fricative,Violate,0
UTHDH,U,TH,Fricative,DH,Fricative,Violate,0
ATHS,A,TH,Fricative,S,Fricative,Violate,0
ETHS,E,TH,Fricative,S,Fricative,Violate,0
ITHS,I,TH,Fricative,S,Fricative,Violate,0
OTHS,O,TH,Fricative,S,Fricative,Violate,0
UTHS,U,TH,Fricative,S,Fricative,Violate,0
ATHZ,A,TH,Fricative,Z,Fricative,Violate,0
ETHZ,E,TH,Fricative,Z,Fricative,Violate,0
ITHZ,I,TH,Fricative,Z,Fricative,Violate,0
OTHZ,O,TH,Fricative,Z,Fricative,Violate,0
UTHZ,U,TH,Fricative,Z,Fricative,Violate,0
ATHSH,A,TH,Fricative,SH,Fricative,Violate,0
ETHSH,E,TH,Fricative,SH,Fricative,Violate,0
ITHSH,I,TH,Fricative,SH,Fricative,Violate,0
OTHSH,O,TH,Fricative,SH,Fricative,Violate,0
UTHSH,U,TH,Fricative,SH,Fricative,Violate,0
ATHZH,A,TH,Fricative,ZH,Fricative,Violate,0
ETHZH,E,TH,Fricative,ZH,Fricative,Violate,0
ITHZH,I,TH,Fricative,ZH,Fricative,Violate,0
OTHZH,O,TH,Fricative,ZH,Fricative,Violate,0
UTHZH,U,TH,Fricative,ZH,Fricative,Violate,0
ATHH,A,TH,Fricative,H,Fricative,Violate,0
ETHH,E,TH,Fricative,H,Fricative,Violate,0
ITHH,I,TH,Fricative,H,Fricative,Violate,0
OTHH,O,TH,Fricative,H,Fricative,Violate,0
UTHH,U,TH,Fricative,H,Fricative,Violate,0
ATHCH,A,TH,Fricative,CH,Affricate,Violate,1
ETHCH,E,TH,Fricative,CH,Affricate,Violate,1
ITHCH,I,TH,Fricative,CH,Affricate,Violate,1
OTHCH,O,TH,Fricative,CH,Affricate,Violate,1
UTHCH,U,TH,Fricative,CH,Affricate,Violate,1
ATHJH,A,TH,Fricative,JH,Affricate,Violate,1
ETHJH,E,TH,Fricative,JH,Affricate,Violate,1
ITHJH,I,TH,Fricative,JH,Affricate,Violate,1
OTHJH,O,TH,Fricative,JH,Affricate,Violate,1
UTHJH,U,TH,Fricative,JH,Affricate,Violate,1
ATHM,A,TH,Fricative,M,Nasal,Violate,2
ETHM,E,TH,Fricative,M,Nasal,Violate,2
ITHM,I,TH,Fricative,M,Nasal,Violate,2
OTHM,O,TH,Fricative,M,Nasal,Violate,2
UTHM,U,TH,Fricative,M,Nasal,Violate,2
ATHN,A,TH,Fricative,N,Nasal,Violate,2
ETHN,E,TH,Fricative,N,Nasal,Violate,2
ITHN,I,TH,Fricative,N,Nasal,Violate,2
OTHN,O,TH,Fricative,N,Nasal,Violate,2
UTHN,U,TH,Fricative,N,Nasal,Violate,2
ATHNG,A,TH,Fricative,NG,Nasal,Violate,2
ETHNG,E,TH,Fricative,NG,Nasal,Violate,2
ITHNG,I,TH,Fricative,NG,Nasal,Violate,2
OTHNG,O,TH,Fricative,NG,Nasal,Violate,2
UTHNG,U,TH,Fricative,NG,Nasal,Violate,2
ATHL,A,TH,Fricative,L,Liquid,Violate,3
ETHL,E,TH,Fricative,L,Liquid,Violate,3
ITHL,I,TH,Fricative,L,Liquid,Violate,3
OTHL,O,TH,Fricative,L,Liquid,Violate,3
UTHL,U,TH,Fricative,L,Liquid,Violate,3
ATHR,A,TH,Fricative,R,Liquid,Violate,3
ETHR,E,TH,Fricative,R,Liquid,Violate,3
ITHR,I,TH,Fricative,R,Liquid,Violate,3
OTHR,O,TH,Fricative,R,Liquid,Violate,3
UTHR,U,TH,Fricative,R,Liquid,Violate,3
ATHY,A,TH,Fricative,Y,Glide,Violate,4
ETHY,E,TH,Fricative,Y,Glide,Violate,4
ITHY,I,TH,Fricative,Y,Glide,Violate,4
OTHY,O,TH,Fricative,Y,Glide,Violate,4
UTHY,U,TH,Fricative,Y,Glide,Violate,4
ATHW,A,TH,Fricative,W,Glide,Violate,4
ETHW,E,TH,Fricative,W,Glide,Violate,4
ITHW,I,TH,Fricative,W,Glide,Violate,4
OTHW,O,TH,Fricative,W,Glide,Violate,4
UTHW,U,TH,Fricative,W,Glide,Violate,4
ADHF,A,DH,Fricative,F,Fricative,Violate,0
EDHF,E,DH,Fricative,F,Fricative,Violate,0
IDHF,I,DH,Fricative,F,Fricative,Violate,0
ODHF,O,DH,Fricative,F,Fricative,Violate,0
UDHF,U,DH,Fricative,F,Fricative,Violate,0
ADHV,A,DH,Fricative,V,Fricative,Violate,0
EDHV,E,DH,Fricative,V,Fricative,Violate,0
IDHV,I,DH,Fricative,V,Fricative,Violate,0
ODHV,O,DH,Fricative,V,Fricative,Violate,0
UDHV,U,DH,Fricative,V,Fricative,Violate,0
ADHTH,A,DH,Fricative,TH,Fricative,Violate,0
EDHTH,E,DH,Fricative,TH,Fricative,Violate,0
IDHTH,I,DH,Fricative,TH,Fricative,Violate,0
ODHTH,O,DH,Fricative,TH,Fricative,Violate,0
UDHTH,U,DH,Fricative,TH,Fricative,Violate,0
ADHS,A,DH,Fricative,S,Fricative,Violate,0
EDHS,E,DH,Fricative,S,Fricative,Violate,0
IDHS,I,DH,Fricative,S,Fricative,Violate,0
ODHS,O,DH,Fricative,S,Fricative,Violate,0
UDHS,U,DH,Fricative,S,Fricative,Violate,0
ADHZ,A,DH,Fricative,Z,Fricative,Violate,0
EDHZ,E,DH,Fricative,Z,Fricative,Violate,0
IDHZ,I,DH,Fricative,Z,Fricative,Violate,0
ODHZ,O,DH,Fricative,Z,Fricative,Violate,0
UDHZ,U,DH,Fricative,Z,Fricative,Violate,0
ADHSH,A,DH,Fricative,SH,Fricative,Violate,0
EDHSH,E,DH,Fricative,SH,Fricative,Violate,0
IDHSH,I,DH,Fricative,SH,Fricative,Violate,0
ODHSH,O,DH,Fricative,SH,Fricative,Violate,0
UDHSH,U,DH,Fricative,SH,Fricative,Violate,0
ADHZH,A,DH,Fricative,ZH,Fricative,Violate,0
EDHZH,E,DH,Fricative,ZH,Fricative,Violate,0
IDHZH,I,DH,Fricative,ZH,Fricative,Violate,0
ODHZH,O,DH,Fricative,ZH,Fricative,Violate,0
UDHZH,U,DH,Fricative,ZH,Fricative,Violate,0
ADHH,A,DH,Fricative,H,Fricative,Violate,0
EDHH,E,DH,Fricative,H,Fricative,Violate,0
IDHH,I,DH,Fricative,H,Fricative,Violate,0
ODHH,O,DH,Fricative,H,Fricative,Violate,0
UDHH,U,DH,Fricative,H,Fricative,Violate,0
ADHCH,A,DH,Fricative,CH,Affricate,Violate,1
EDHCH,E,DH,Fricative,CH,Affricate,Violate,1
IDHCH,I,DH,Fricative,CH,Affricate,Violate,1
ODHCH,O,DH,Fricative,CH,Affricate,Violate,1
UDHCH,U,DH,Fricative,CH,Affricate,Violate,1
ADHJH,A,DH,Fricative,JH,Affricate,Violate,1
EDHJH,E,DH,Fricative,JH,Affricate,Violate,1
IDHJH,I,DH,Fricative,JH,Affricate,Violate,1
ODHJH,O,DH,Fricative,JH,Affricate,Violate,1
UDHJH,U,DH,Fricative,JH,Affricate,Violate,1
ADHM,A,DH,Fricative,M,Nasal,Violate,2
EDHM,E,DH,Fricative,M,Nasal,Violate,2
IDHM,I,DH,Fricative,M,Nasal,Violate,2
ODHM,O,DH,Fricative,M,Nasal,Violate,2
UDHM,U,DH,Fricative,M,Nasal,Violate,2
ADHN,A,DH,Fricative,N,Nasal,Violate,2
EDHN,E,DH,Fricative,N,Nasal,Violate,2
IDHN,I,DH,Fricative,N,Nasal,Violate,2
ODHN,O,DH,Fricative,N,Nasal,Violate,2
UDHN,U,DH,Fricative,N,Nasal,Violate,2
ADHNG,A,DH,Fricative,NG,Nasal,Violate,2
EDHNG,E,DH,Fricative,NG,Nasal,Violate,2
IDHNG,I,DH,Fricative,NG,Nasal,Violate,2
ODHNG,O,DH,Fricative,NG,Nasal,Violate,2
UDHNG,U,DH,Fricative,NG,Nasal,Violate,2
ADHL,A,DH,Fricative,L,Liquid,Violate,3
EDHL,E,DH,Fricative,L,Liquid,Violate,3
IDHL,I,DH,Fricative,L,Liquid,Violate,3
ODHL,O,DH,Fricative,L,Liquid,Violate,3
UDHL,U,DH,Fricative,L,Liquid,Violate,3
ADHR,A,DH,Fricative,R,Liquid,Violate,3
EDHR,E,DH,Fricative,R,Liquid,Violate,3
IDHR,I,DH,Fricative,R,Liquid,Violate,3
ODHR,O,DH,Fricative,R,Liquid,Violate,3
UDHR,U,DH,Fricative,R,Liquid,Violate,3
ADHY,A,DH,Fricative,Y,Glide,Violate,4
EDHY,E,DH,Fricative,Y,Glide,Violate,4
IDHY,I,DH,Fricative,Y,Glide,Violate,4
ODHY,O,DH,Fricative,Y,Glide,Violate,4
UDHY,U,DH,Fricative,Y,Glide,Violate,4
ADHW,A,DH,Fricative,W,Glide,Violate,4
EDHW,E,DH,Fricative,W,Glide,Violate,4
IDHW,I,DH,Fricative,W,Glide,Violate,4
ODHW,O,DH,Fricative,W,Glide,Violate,4
UDHW,U,DH,Fricative,W,Glide,Violate,4
ASF,A,S,Fricative,F,Fricative,Violate,0
ESF,E,S,Fricative,F,Fricative,Violate,0
ISF,I,S,Fricative,F,Fricative,Violate,0
OSF,O,S,Fricative,F,Fricative,Violate,0
USF,U,S,Fricative,F,Fricative,Violate,0
ASV,A,S,Fricative,V,Fricative,Violate,0
ESV,E,S,Fricative,V,Fricative,Violate,0
ISV,I,S,Fricative,V,Fricative,Violate,0
OSV,O,S,Fricative,V,Fricative,Violate,0
USV,U,S,Fricative,V,Fricative,Violate,0
ASTH,A,S,Fricative,TH,Fricative,Violate,0
ESTH,E,S,Fricative,TH,Fricative,Violate,0
ISTH,I,S,Fricative,TH,Fricative,Violate,0
OSTH,O,S,Fricative,TH,Fricative,Violate,0
USTH,U,S,Fricative,TH,Fricative,Violate,0
ASDH,A,S,Fricative,DH,Fricative,Violate,0
ESDH,E,S,Fricative,DH,Fricative,Violate,0
ISDH,I,S,Fricative,DH,Fricative,Violate,0
OSDH,O,S,Fricative,DH,Fricative,Violate,0
USDH,U,S,Fricative,DH,Fricative,Violate,0
ASZ,A,S,Fricative,Z,Fricative,Violate,0
ESZ,E,S,Fricative,Z,Fricative,Violate,0
ISZ,I,S,Fricative,Z,Fricative,Violate,0
OSZ,O,S,Fricative,Z,Fricative,Violate,0
USZ,U,S,Fricative,Z,Fricative,Violate,0
ASSH,A,S,Fricative,SH,Fricative,Violate,0
ESSH,E,S,Fricative,SH,Fricative,Violate,0
ISSH,I,S,Fricative,SH,Fricative,Violate,0
OSSH,O,S,Fricative,SH,Fricative,Violate,0
USSH,U,S,Fricative,SH,Fricative,Violate,0
ASZH,A,S,Fricative,ZH,Fricative,Violate,0
ESZH,E,S,Fricative,ZH,Fricative,Violate,0
ISZH,I,S,Fricative,ZH,Fricative,Violate,0
OSZH,O,S,Fricative,ZH,Fricative,Violate,0
USZH,U,S,Fricative,ZH,Fricative,Violate,0
ASH,A,S,Fricative,H,Fricative,Violate,0
ESH,E,S,Fricative,H,Fricative,Violate,0
ISH,I,S,Fricative,H,Fricative,Violate,0
OSH,O,S,Fricative,H,Fricative,Violate,0
USH,U,S,Fricative,H,Fricative,Violate,0
ASCH,A,S,Fricative,CH,Affricate,Violate,1
ESCH,E,S,Fricative,CH,Affricate,Violate,1
ISCH,I,S,Fricative,CH,Affricate,Violate,1
OSCH,O,S,Fricative,CH,Affricate,Violate,1
USCH,U,S,Fricative,CH,Affricate,Violate,1
ASJH,A,S,Fricative,JH,Affricate,Violate,1
ESJH,E,S,Fricative,JH,Affricate,Violate,1
ISJH,I,S,Fricative,JH,Affricate,Violate,1
OSJH,O,S,Fricative,JH,Affricate,Violate,1
USJH,U,S,Fricative,JH,Affricate,Violate,1
ASM,A,S,Fricative,M,Nasal,Violate,2
ESM,E,S,Fricative,M,Nasal,Violate,2
ISM,I,S,Fricative,M,Nasal,Violate,2
OSM,O,S,Fricative,M,Nasal,Violate,2
USM,U,S,Fricative,M,Nasal,Violate,2
ASN,A,S,Fricative,N,Nasal,Violate,2
ESN,E,S,Fricative,N,Nasal,Violate,2
ISN,I,S,Fricative,N,Nasal,Violate,2
OSN,O,S,Fricative,N,Nasal,Violate,2
USN,U,S,Fricative,N,Nasal,Violate,2
ASNG,A,S,Fricative,NG,Nasal,Violate,2
ESNG,E,S,Fricative,NG,Nasal,Violate,2
ISNG,I,S,Fricative,NG,Nasal,Violate,2
OSNG,O,S,Fricative,NG,Nasal,Violate,2
USNG,U,S,Fricative,NG,Nasal,Violate,2
ASL,A,S,Fricative,L,Liquid,Violate,3
ESL,E,S,Fricative,L,Liquid,Violate,3
ISL,I,S,Fricative,L,Liquid,Violate,3
OSL,O,S,Fricative,L,Liquid,Violate,3
USL,U,S,Fricative,L,Liquid,Violate,3
ASR,A,S,Fricative,R,Liquid,Violate,3
ESR,E,S,Fricative,R,Liquid,Violate,3
ISR,I,S,Fricative,R,Liquid,Violate,3
OSR,O,S,Fricative,R,Liquid,Violate,3
USR,U,S,Fricative,R,Liquid,Violate,3
ASY,A,S,Fricative,Y,Glide,Violate,4
ESY,E,S,Fricative,Y,Glide,Violate,4
ISY,I,S,Fricative,Y,Glide,Violate,4
OSY,O,S,Fricative,Y,Glide,Violate,4
USY,U,S,Fricative,Y,Glide,Violate,4
ASW,A,S,Fricative,W,Glide,Violate,4
ESW,E,S,Fricative,W,Glide,Violate,4
ISW,I,S,Fricative,W,Glide,Violate,4
OSW,O,S,Fricative,W,Glide,Violate,4
USW,U,S,Fricative,W,Glide,Violate,4
AZF,A,Z,Fricative,F,Fricative,Violate,0
EZF,E,Z,Fricative,F,Fricative,Violate,0
IZF,I,Z,Fricative,F,Fricative,Violate,0
OZF,O,Z,Fricative,F,Fricative,Violate,0
UZF,U,Z,Fricative,F,Fricative,Violate,0
AZV,A,Z,Fricative,V,Fricative,Violate,0
EZV,E,Z,Fricative,V,Fricative,Violate,0
IZV,I,Z,Fricative,V,Fricative,Violate,0
OZV,O,Z,Fricative,V,Fricative,Violate,0
UZV,U,Z,Fricative,V,Fricative,Violate,0
AZTH,A,Z,Fricative,TH,Fricative,Violate,0
EZTH,E,Z,Fricative,TH,Fricative,Violate,0
IZTH,I,Z,Fricative,TH,Fricative,Violate,0
OZTH,O,Z,Fricative,TH,Fricative,Violate,0
UZTH,U,Z,Fricative,TH,Fricative,Violate,0
AZDH,A,Z,Fricative,DH,Fricative,Violate,0
EZDH,E,Z,Fricative,DH,Fricative,Violate,0
IZDH,I,Z,Fricative,DH,Fricative,Violate,0
OZDH,O,Z,Fricative,DH,Fricative,Violate,0
UZDH,U,Z,Fricative,DH,Fricative,Violate,0
AZS,A,Z,Fricative,S,Fricative,Violate,0
EZS,E,Z,Fricative,S,Fricative,Violate,0
IZS,I,Z,Fricative,S,Fricative,Violate,0
OZS,O,Z,Fricative,S,Fricative,Violate,0
UZS,U,Z,Fricative,S,Fricative,Violate,0
AZSH,A,Z,Fricative,SH,Fricative,Violate,0
EZSH,E,Z,Fricative,SH,Fricative,Violate,0
IZSH,I,Z,Fricative,SH,Fricative,Violate,0
OZSH,O,Z,Fricative,SH,Fricative,Violate,0
UZSH,U,Z,Fricative,SH,Fricative,Violate,0
AZZH,A,Z,Fricative,ZH,Fricative,Violate,0
EZZH,E,Z,Fricative,ZH,Fricative,Violate,0
IZZH,I,Z,Fricative,ZH,Fricative,Violate,0
OZZH,O,Z,Fricative,ZH,Fricative,Violate,0
UZZH,U,Z,Fricative,ZH,Fricative,Violate,0
AZH,A,Z,Fricative,H,Fricative,Violate,0
EZH,E,Z,Fricative,H,Fricative,Violate,0
IZH,I,Z,Fricative,H,Fricative,Violate,0
OZH,O,Z,Fricative,H,Fricative,Violate,0
UZH,U,Z,Fricative,H,Fricative,Violate,0
AZCH,A,Z,Fricative,CH,Affricate,Violate,1
EZCH,E,Z,Fricative,CH,Affricate,Violate,1
IZCH,I,Z,Fricative,CH,Affricate,Violate,1
OZCH,O,Z,Fricative,CH,Affricate,Violate,1
UZCH,U,Z,Fricative,CH,Affricate,Violate,1
AZJH,A,Z,Fricative,JH,Affricate,Violate,1
EZJH,E,Z,Fricative,JH,Affricate,Violate,1
IZJH,I,Z,Fricative,JH,Affricate,Violate,1
OZJH,O,Z,Fricative,JH,Affricate,Violate,1
UZJH,U,Z,Fricative,JH,Affricate,Violate,1
AZM,A,Z,Fricative,M,Nasal,Violate,2
EZM,E,Z,Fricative,M,Nasal,Violate,2
IZM,I,Z,Fricative,M,Nasal,Violate,2
OZM,O,Z,Fricative,M,Nasal,Violate,2
UZM,U,Z,Fricative,M,Nasal,Violate,2
AZN,A,Z,Fricative,N,Nasal,Violate,2
EZN,E,Z,Fricative,N,Nasal,Violate,2
IZN,I,Z,Fricative,N,Nasal,Violate,2
OZN,O,Z,Fricative,N,Nasal,Violate,2
UZN,U,Z,Fricative,N,Nasal,Violate,2
AZNG,A,Z,Fricative,NG,Nasal,Violate,2
EZNG,E,Z,Fricative,NG,Nasal,Violate,2
IZNG,I,Z,Fricative,NG,Nasal,Violate,2
OZNG,O,Z,Fricative,NG,Nasal,Violate,2
UZNG,U,Z,Fricative,NG,Nasal,Violate,2
AZL,A,Z,Fricative,L,Liquid,Violate,3
EZL,E,Z,Fricative,L,Liquid,Violate,3
IZL,I,Z,Fricative,L,Liquid,Violate,3
OZL,O,Z,Fricative,L,Liquid,Violate,3
UZL,U,Z,Fricative,L,Liquid,Violate,3
AZR,A,Z,Fricative,R,Liquid,Violate,3
EZR,E,Z,Fricative,R,Liquid,Violate,3
IZR,I,Z,Fricative,R,Liquid,Violate,3
OZR,O,Z,Fricative,R,Liquid,Violate,3
UZR,U,Z,Fricative,R,Liquid,Violate,3
AZY,A,Z,Fricative,Y,Glide,Violate,4
EZY,E,Z,Fricative,Y,Glide,Violate,4
IZY,I,Z,Fricative,Y,Glide,Violate,4
OZY,O,Z,Fricative,Y,Glide,Violate,4
UZY,U,Z,Fricative,Y,Glide,Violate,4
AZW,A,Z,Fricative,W,Glide,Violate,4
EZW,E,Z,Fricative,W,Glide,Violate,4
IZW,I,Z,Fricative,W,Glide,Violate,4
OZW,O,Z,Fricative,W,Glide,Violate,4
UZW,U,Z,Fricative,W,Glide,Violate,4
ASHF,A,SH,Fricative,F,Fricative,Violate,0
ESHF,E,SH,Fricative,F,Fricative,Violate,0
ISHF,I,SH,Fricative,F,Fricative,Violate,0
OSHF,O,SH,Fricative,F,Fricative,Violate,0
USHF,U,SH,Fricative,F,Fricative,Violate,0
ASHV,A,SH,Fricative,V,Fricative,Violate,0
ESHV,E,SH,Fricative,V,Fricative,Violate,0
ISHV,I,SH,Fricative,V,Fricative,Violate,0
OSHV,O,SH,Fricative,V,Fricative,Violate,0
USHV,U,SH,Fricative,V,Fricative,Violate,0
ASHTH,A,SH,Fricative,TH,Fricative,Violate,0
ESHTH,E,SH,Fricative,TH,Fricative,Violate,0
ISHTH,I,SH,Fricative,TH,Fricative,Violate,0
OSHTH,O,SH,Fricative,TH,Fricative,Violate,0
USHTH,U,SH,Fricative,TH,Fricative,Violate,0
ASHDH,A,SH,Fricative,DH,Fricative,Violate,0
ESHDH,E,SH,Fricative,DH,Fricative,Violate,0
ISHDH,I,SH,Fricative,DH,Fricative,Violate,0
OSHDH,O,SH,Fricative,DH,Fricative,Violate,0
USHDH,U,SH,Fricative,DH,Fricative,Violate,0
ASHS,A,SH,Fricative,S,Fricative,Violate,0
ESHS,E,SH,Fricative,S,Fricative,Violate,0
ISHS,I,SH,Fricative,S,Fricative,Violate,0
OSHS,O,SH,Fricative,S,Fricative,Violate,0
USHS,U,SH,Fricative,S,Fricative,Violate,0
ASHZ,A,SH,Fricative,Z,Fricative,Violate,0
ESHZ,E,SH,Fricative,Z,Fricative,Violate,0
ISHZ,I,SH,Fricative,Z,Fricative,Violate,0
OSHZ,O,SH,Fricative,Z,Fricative,Violate,0
USHZ,U,SH,Fricative,Z,Fricative,Violate,0
ASHZH,A,SH,Fricative,ZH,Fricative,Violate,0
ESHZH,E,SH,Fricative,ZH,Fricative,Violate,0
ISHZH,I,SH,Fricative,ZH,Fricative,Violate,0
OSHZH,O,SH,Fricative,ZH,Fricative,Violate,0
USHZH,U,SH,Fricative,ZH,Fricative,Violate,0
ASHH,A,SH,Fricative,H,Fricative,Violate,0
ESHH,E,SH,Fricative,H,Fricative,Violate,0
ISHH,I,SH,Fricative,H,Fricative,Violate,0
OSHH,O,SH,Fricative,H,Fricative,Violate,0
USHH,U,SH,Fricative,H,Fricative,Violate,0
ASHCH,A,SH,Fricative,CH,Affricate,Violate,1
ESHCH,E,SH,Fricative,CH,Affricate,Violate,1
ISHCH,I,SH,Fricative,CH,Affricate,Violate,1
OSHCH,O,SH,Fricative,CH,Affricate,Violate,1
USHCH,U,SH,Fricative,CH,Affricate,Violate,1
ASHJH,A,SH,Fricative,JH,Affricate,Violate,1
ESHJH,E,SH,Fricative,JH,Affricate,Violate,1
ISHJH,I,SH,Fricative,JH,Affricate,Violate,1
OSHJH,O,SH,Fricative,JH,Affricate,Violate,1
USHJH,U,SH,Fricative,JH,Affricate,Violate,1
ASHM,A,SH,Fricative,M,Nasal,Violate,2
ESHM,E,SH,Fricative,M,Nasal,Violate,2
ISHM,I,SH,Fricative,M,Nasal,Violate,2
OSHM,O,SH,Fricative,M,Nasal,Violate,2
USHM,U,SH,Fricative,M,Nasal,Violate,2
ASHN,A,SH,Fricative,N,Nasal,Violate,2
ESHN,E,SH,Fricative,N,Nasal,Violate,2
ISHN,I,SH,Fricative,N,Nasal,Violate,2
OSHN,O,SH,Fricative,N,Nasal,Violate,2
USHN,U,SH,Fricative,N,Nasal,Violate,2
ASHNG,A,SH,Fricative,NG,Nasal,Violate,2
ESHNG,E,SH,Fricative,NG,Nasal,Violate,2
ISHNG,I,SH,Fricative,NG,Nasal,Violate,2
OSHNG,O,SH,Fricative,NG,Nasal,Violate,2
USHNG,U,SH,Fricative,NG,Nasal,Violate,2
ASHL,A,SH,Fricative,L,Liquid,Violate,3
ESHL,E,SH,Fricative,L,Liquid,Violate,3
ISHL,I,SH,Fricative,L,Liquid,Violate,3
OSHL,O,SH,Fricative,L,Liquid,Violate,3
USHL,U,SH,Fricative,L,Liquid,Violate,3
ASHR,A,SH,Fricative,R,Liquid,Violate,3
ESHR,E,SH,Fricative,R,Liquid,Violate,3
ISHR,I,SH,Fricative,R,Liquid,Violate,3
OSHR,O,SH,Fricative,R,Liquid,Violate,3
USHR,U,SH,Fricative,R,Liquid,Violate,3
ASHY,A,SH,Fricative,Y,Glide,Violate,4
ESHY,E,SH,Fricative,Y,Glide,Violate,4
ISHY,I,SH,Fricative,Y,Glide,Violate,4
OSHY,O,SH,Fricative,Y,Glide,Violate,4
USHY,U,SH,Fricative,Y,Glide,Violate,4
ASHW,A,SH,Fricative,W,Glide,Violate,4
ESHW,E,SH,Fricative,W,Glide,Violate,4
ISHW,I,SH,Fricative,W,Glide,Violate,4
OSHW,O,SH,Fricative,W,Glide,Violate,4
USHW,U,SH,Fricative,W,Glide,Violate,4
AZHF,A,ZH,Fricative,F,Fricative,Violate,0
EZHF,E,ZH,Fricative,F,Fricative,Violate,0
IZHF,I,ZH,Fricative,F,Fricative,Violate,0
OZHF,O,ZH,Fricative,F,Fricative,Violate,0
UZHF,U,ZH,Fricative,F,Fricative,Violate,0
AZHV,A,ZH,Fricative,V,Fricative,Violate,0
EZHV,E,ZH,Fricative,V,Fricative,Violate,0
IZHV,I,ZH,Fricative,V,Fricative,Violate,0
OZHV,O,ZH,Fricative,V,Fricative,Violate,0
UZHV,U,ZH,Fricative,V,Fricative,Violate,0
AZHTH,A,ZH,Fricative,TH,Fricative,Violate,0
EZHTH,E,ZH,Fricative,TH,Fricative,Violate,0
IZHTH,I,ZH,Fricative,TH,Fricative,Violate,0
OZHTH,O,ZH,Fricative,TH,Fricative,Violate,0
