CCV,C1,C1 Manner,C2,C2 Manner,V,SSP Status,Sonority Difference
RSHE,R,Liquid,SH,Fricative,E,Violate,-3
RSHI,R,Liquid,SH,Fricative,I,Violate,-3
RSHO,R,Liquid,SH,Fricative,O,Violate,-3
RSHU,R,Liquid,SH,Fricative,U,Violate,-3
RZHA,R,Liquid,ZH,Fricative,A,Violate,-3
RZHE,R,Liquid,ZH,Fricative,E,Violate,-3
RZHI,R,Liquid,ZH,Fricative,I,Violate,-3
RZHO,R,Liquid,ZH,Fricative,O,Violate,-3
RZHU,R,Liquid,ZH,Fricative,U,Violate,-3
RHA,R,Liquid,H,Fricative,A,Violate,-3
RHE,R,Liquid,H,Fricative,E,Violate,-3
RHI,R,Liquid,H,Fricative,I,Violate,-3
RHO,R,Liquid,H,Fricative,O,Violate,-3
RHU,R,Liquid,H,Fricative,U,Violate,-3
RCHA,R,Liquid,CH,Affricate,A,Violate,-2
RCHE,R,Liquid,CH,Affricate,E,Violate,-2
RCHI,R,Liquid,CH,Affricate,I,Violate,-2
RCHO,R,Liquid,CH,Affricate,O,Violate,-2
RCHU,R,Liquid,CH,Affricate,U,Violate,-2
RJHA,R,Liquid,JH,Affricate,A,Violate,-2
RJHE,R,Liquid,JH,Affricate,E,Violate,-2
RJHI,R,Liquid,JH,Affricate,I,Violate,-2
RJHO,R,Liquid,JH,Affricate,O,Violate,-2
RJHU,R,Liquid,JH,Affricate,U,Violate,-2
RMA,R,Liquid,M,Nasal,A,Violate,-1
RME,R,Liquid,M,Nasal,E,Violate,-1
RMI,R,Liquid,M,Nasal,I,Violate,-1
RMO,R,Liquid,M,Nasal,O,Violate,-1
RMU,R,Liquid,M,Nasal,U,Violate,-1
RNA,R,Liquid,N,Nasal,A,Violate,-1
RNE,R,Liquid,N,Nasal,E,Violate,-1
RNI,R,Liquid,N,Nasal,I,Violate,-1
RNO,R,Liquid,N,Nasal,O,Violate,-1
RNU,R,Liquid,N,Nasal,U,Violate,-1
RNGA,R,Liquid,NG,Nasal,A,Violate,-1
RNGE,R,Liquid,NG,Nasal,E,Violate,-1
RNGI,R,Liquid,NG,Nasal,I,Violate,-1
RNGO,R,Liquid,NG,Nasal,O,Violate,-1
RNGU,R,Liquid,NG,Nasal,U,Violate,-1
RLA,R,Liquid,L,Liquid,A,Violate,0
RLE,R,Liquid,L,Liquid,E,Violate,0
RLI,R,Liquid,L,Liquid,I,Violate,0
RLO,R,Liquid,L,Liquid,O,Violate,0
RLU,R,Liquid,L,Liquid,U,Violate,0
YPA,Y,Glide,P,Plosive,A,Violate,-5
YPE,Y,Glide,P,Plosive,E,Violate,-5
YPI,Y,Glide,P,Plosive,I,Violate,-5
YPO,Y,Glide,P,Plosive,O,Violate,-5
YPU,Y,Glide,P,Plosive,U,Violate,-5
YBA,Y,Glide,B,Plosive,A,Violate,-5
YBE,Y,Glide,B,Plosive,E,Violate,-5
YBI,Y,Glide,B,Plosive,I,Violate,-5
YBO,Y,Glide,B,Plosive,O,Violate,-5
YBU,Y,Glide,B,Plosive,U,Violate,-5
YTA,Y,Glide,T,Plosive,A,Violate,-5
YTE,Y,Glide,T,Plosive,E,Violate,-5
YTI,Y,Glide,T,Plosive,I,Violate,-5
YTO,Y,Glide,T,Plosive,O,Violate,-5
YTU,Y,Glide,T,Plosive,U,Violate,-5
YDA,Y,Glide,D,Plosive,A,Violate,-5
YDE,Y,Glide,D,Plosive,E,Violate,-5
YDI,Y,Glide,D,Plosive,I,Violate,-5
YDO,Y,Glide,D,Plosive,O,Violate,-5
YDU,Y,Glide,D,Plosive,U,Violate,-5
YKA,Y,Glide,K,Plosive,A,Violate,-5
YKE,Y,Glide,K,Plosive,E,Violate,-5
YKI,Y,Glide,K,Plosive,I,Violate,-5
YKO,Y,Glide,K,Plosive,O,Violate,-5
YKU,Y,Glide,K,Plosive,U,Violate,-5
YGA,Y,Glide,G,Plosive,A,Violate,-5
YGE,Y,Glide,G,Plosive,E,Violate,-5
YGI,Y,Glide,G,Plosive,I,Violate,-5
YGO,Y,Glide,G,Plosive,O,Violate,-5
YGU,Y,Glide,G,Plosive,U,Violate,-5
YQA,Y,Glide,Q,Plosive,A,Violate,-5
YQE,Y,Glide,Q,Plosive,E,Violate,-5
YQI,Y,Glide,Q,Plosive,I,Violate,-5
YQO,Y,Glide,Q,Plosive,O,Violate,-5
YQU,Y,Glide,Q,Plosive,U,Violate,-5
YFA,Y,Glide,F,Fricative,A,Violate,-4
YFE,Y,Glide,F,Fricative,E,Violate,-4
YFI,Y,Glide,F,Fricative,I,Violate,-4
YFO,Y,Glide,F,Fricative,O,Violate,-4
YFU,Y,Glide,F,Fricative,U,Violate,-4
YVA,Y,Glide,V,Fricative,A,Violate,-4
YVE,Y,Glide,V,Fricative,E,Violate,-4
YVI,Y,Glide,V,Fricative,I,Violate,-4
YVO,Y,Glide,V,Fricative,O,Violate,-4
YVU,Y,Glide,V,Fricative,U,Violate,-4
YTHA,Y,Glide,TH,Fricative,A,Violate,-4
YTHE,Y,Glide,TH,Fricative,E,Violate,-4
YTHI,Y,Glide,TH,Fricative,I,Violate,-4
YTHO,Y,Glide,TH,Fricative,O,Violate,-4
YTHU,Y,Glide,TH,Fricative,U,Violate,-4
YDHA,Y,Glide,DH,Fricative,A,Violate,-4
YDHE,Y,Glide,DH,Fricative,E,Violate,-4
YDHI,Y,Glide,DH,Fricative,I,Violate,-4
YDHO,Y,Glide,DH,Fricative,O,Violate,-4
YDHU,Y,Glide,DH,Fricative,U,Violate,-4
YSA,Y,Glide,S,Fricative,A,Violate,-4
YSE,Y,Glide,S,Fricative,E,Violate,-4
YSI,Y,Glide,S,Fricative,I,Violate,-4
YSO,Y,Glide,S,Fricative,O,Violate,-4
YSU,Y,Glide,S,Fricative,U,Violate,-4
YZA,Y,Glide,Z,Fricative,A,Violate,-4
YZE,Y,Glide,Z,Fricative,E,Violate,-4
YZI,Y,Glide,Z,Fricative,I,Violate,-4
YZO,Y,Glide,Z,Fricative,O,Violate,-4
YZU,Y,Glide,Z,Fricative,U,Violate,-4
YSHA,Y,Glide,SH,Fricative,A,Violate,-4
YSHE,Y,Glide,SH,Fricative,E,Violate,-4
YSHI,Y,Glide,SH,Fricative,I,Violate,-4
YSHO,Y,Glide,SH,Fricative,O,Violate,-4
YSHU,Y,Glide,SH,Fricative,U,Violate,-4
YZHA,Y,Glide,ZH,Fricative,A,Violate,-4
YZHE,Y,Glide,ZH,Fricative,E,Violate,-4
YZHI,Y,Glide,ZH,Fricative,I,Violate,-4
YZHO,Y,Glide,ZH,Fricative,O,Violate,-4
YZHU,Y,Glide,ZH,Fricative,U,Violate,-4
YHA,Y,Glide,H,Fricative,A,Violate,-4
YHE,Y,Glide,H,Fricative,E,Violate,-4
YHI,Y,Glide,H,Fricative,I,Violate,-4
YHO,Y,Glide,H,Fricative,O,Violate,-4
YHU,Y,Glide,H,Fricative,U,Violate,-4
YCHA,Y,Glide,CH,Affricate,A,Violate,-3
YCHE,Y,Glide,CH,Affricate,E,Violate,-3
YCHI,Y,Glide,CH,Affricate,I,Violate,-3
YCHO,Y,Glide,CH,Affricate,O,Violate,-3
YCHU,Y,Glide,CH,Affricate,U,Violate,-3
YJHA,Y,Glide,JH,Affricate,A,Violate,-3
YJHE,Y,Glide,JH,Affricate,E,Violate,-3
YJHI,Y,Glide,JH,Affricate,I,Violate,-3
YJHO,Y,Glide,JH,Affricate,O,Violate,-3
YJHU,Y,Glide,JH,Affricate,U,Violate,-3
YMA,Y,Glide,M,Nasal,A,Violate,-2
YME,Y,Glide,M,Nasal,E,Violate,-2
YMI,Y,Glide,M,Nasal,I,Violate,-2
YMO,Y,Glide,M,Nasal,O,Violate,-2
YMU,Y,Glide,M,Nasal,U,Violate,-2
YNA,Y,Glide,N,Nasal,A,Violate,-2
YNE,Y,Glide,N,Nasal,E,Violate,-2
YNI,Y,Glide,N,Nasal,I,Violate,-2
YNO,Y,Glide,N,Nasal,O,Violate,-2
YNU,Y,Glide,N,Nasal,U,Violate,-2
YNGA,Y,Glide,NG,Nasal,A,Violate,-2
YNGE,Y,Glide,NG,Nasal,E,Violate,-2
YNGI,Y,Glide,NG,Nasal,I,Violate,-2
YNGO,Y,Glide,NG,Nasal,O,Violate,-2
YNGU,Y,Glide,NG,Nasal,U,Violate,-2
YLA,Y,Glide,L,Liquid,A,Violate,-1
YLE,Y,Glide,L,Liquid,E,Violate,-1
YLI,Y,Glide,L,Liquid,I,Violate,-1
YLO,Y,Glide,L,Liquid,O,Violate,-1
YLU,Y,Glide,L,Liquid,U,Violate,-1
YRA,Y,Glide,R,Liquid,A,Violate,-1
YRE,Y,Glide,R,Liquid,E,Violate,-1
YRI,Y,Glide,R,Liquid,I,Violate,-1
YRO,Y,Glide,R,Liquid,O,Violate,-1
YRU,Y,Glide,R,Liquid,U,Violate,-1
YWA,Y,Glide,W,Glide,A,Violate,0
YWE,Y,Glide,W,Glide,E,Violate,0
YWI,Y,Glide,W,Glide,I,Violate,0
YWO,Y,Glide,W,Glide,O,Violate,0
YWU,Y,Glide,W,Glide,U,Violate,0
WPA,W,Glide,P,Plosive,A,Violate,-5
WPE,W,Glide,P,Plosive,E,Violate,-5
WPI,W,Glide,P,Plosive,I,Violate,-5
WPO,W,Glide,P,Plosive,O,Violate,-5
WPU,W,Glide,P,Plosive,U,Violate,-5
WBA,W,Glide,B,Plosive,A,Violate,-5
WBE,W,Glide,B,Plosive,E,Violate,-5
WBI,W,Glide,B,Plosive,I,Violate,-5
WBO,W,Glide,B,Plosive,O,Violate,-5
WBU,W,Glide,B,Plosive,U,Violate,-5
WTA,W,Glide,T,Plosive,A,Violate,-5
WTE,W,Glide,T,Plosive,E,Violate,-5
WTI,W,Glide,T,Plosive,I,Violate,-5
WTO,W,Glide,T,Plosive,O,Violate,-5
WTU,W,Glide,T,Plosive,U,Violate,-5
WDA,W,Glide,D,Plosive,A,Violate,-5
WDE,W,Glide,D,Plosive,E,Violate,-5
WDI,W,Glide,D,Plosive,I,Violate,-5
WDO,W,Glide,D,Plosive,O,Violate,-5
WDU,W,Glide,D,Plosive,U,Violate,-5
WKA,W,Glide,K,Plosive,A,Violate,-5
WKE,W,Glide,K,Plosive,E,Violate,-5
WKI,W,Glide,K,Plosive,I,Violate,-5
WKO,W,Glide,K,Plosive,O,Violate,-5
WKU,W,Glide,K,Plosive,U,Violate,-5
WGA,W,Glide,G,Plosive,A,Violate,-5
WGE,W,Glide,G,Plosive,E,Violate,-5
WGI,W,Glide,G,Plosive,I,Violate,-5
WGO,W,Glide,G,Plosive,O,Violate,-5
WGU,W,Glide,G,Plosive,U,Violate,-5
WQA,W,Glide,Q,Plosive,A,Violate,-5
WQE,W,Glide,Q,Plosive,E,Violate,-5
WQI,W,Glide,Q,Plosive,I,Violate,-5
WQO,W,Glide,Q,Plosive,O,Violate,-5
WQU,W,Glide,Q,Plosive,U,Violate,-5
WFA,W,Glide,F,Fricative,A,Violate,-4
WFE,W,Glide,F,Fricative,E,Violate,-4
WFI,W,Glide,F,Fricative,I,Violate,-4
WFO,W,Glide,F,Fricative,O,Violate,-4
WFU,W,Glide,F,Fricative,U,Violate,-4
WVA,W,Glide,V,Fricative,A,Violate,-4
WVE,W,Glide,V,Fricative,E,Violate,-4
WVI,W,Glide,V,Fricative,I,Violate,-4
WVO,W,Glide,V,Fricative,O,Violate,-4
WVU,W,Glide,V,Fricative,U,Violate,-4
WTHA,W,Glide,TH,Fricative,A,Violate,-4
WTHE,W,Glide,TH,Fricative,E,Violate,-4
WTHI,W,Glide,TH,Fricative,I,Violate,-4
WTHO,W,Glide,TH,Fricative,O,Violate,-4
WTHU,W,Glide,TH,Fricative,U,Violate,-4
WDHA,W,Glide,DH,Fricative,A,Violate,-4
WDHE,W,Glide,DH,Fricative,E,Violate,-4
WDHI,W,Glide,DH,Fricative,I,Violate,-4
WDHO,W,Glide,DH,Fricative,O,Violate,-4
WDHU,W,Glide,DH,Fricative,U,Violate,-4
WSA,W,Glide,S,Fricative,A,Violate,-4
WSE,W,Glide,S,Fricative,E,Violate,-4
WSI,W,Glide,S,Fricative,I,Violate,-4
WSO,W,Glide,S,Fricative,O,Violate,-4
WSU,W,Glide,S,Fricative,U,Violate,-4
WZA,W,Glide,Z,Fricative,A,Violate,-4
WZE,W,Glide,Z,Fricative,E,Violate,-4
WZI,W,Glide,Z,Fricative,I,Violate,-4
WZO,W,Glide,Z,Fricative,O,Violate,-4
WZU,W,Glide,Z,Fricative,U,Violate,-4
WSHA,W,Glide,SH,Fricative,A,Violate,-4
WSHE,W,Glide,SH,Fricative,E,Violate,-4
WSHI,W,Glide,SH,Fricative,I,Violate,-4
WSHO,W,Glide,SH,Fricative,O,Violate,-4
WSHU,W,Glide,SH,Fricative,U,Violate,-4
WZHA,W,Glide,ZH,Fricative,A,Violate,-4
WZHE,W,Glide,ZH,Fricative,E,Violate,-4
WZHI,W,Glide,ZH,Fricative,I,Violate,-4
WZHO,W,Glide,ZH,Fricative,O,Violate,-4
WZHU,W,Glide,ZH,Fricative,U,Violate,-4
WHA,W,Glide,H,Fricative,A,Violate,-4
WHE,W,Glide,H,Fricative,E,Violate,-4
WHI,W,Glide,H,Fricative,I,Violate,-4
WHO,W,Glide,H,Fricative,O,Violate,-4
WHU,W,Glide,H,Fricative,U,Violate,-4
WCHA,W,Glide,CH,Affricate,A,Violate,-3
WCHE,W,Glide,CH,Affricate,E,Violate,-3
WCHI,W,Glide,CH,Affricate,I,Violate,-3
WCHO,W,Glide,CH,Affricate,O,Violate,-3
WCHU,W,Glide,CH,Affricate,U,Violate,-3
WJHA,W,Glide,JH,Affricate,A,Violate,-3
WJHE,W,Glide,JH,Affricate,E,Violate,-3
WJHI,W,Glide,JH,Affricate,I,Violate,-3
WJHO,W,Glide,JH,Affricate,O,Violate,-3
WJHU,W,Glide,JH,Affricate,U,Violate,-3
WMA,W,Glide,M,Nasal,A,Violate,-2
WME,W,Glide,M,Nasal,E,Violate,-2
WMI,W,Glide,M,Nasal,I,Violate,-2
WMO,W,Glide,M,Nasal,O,Violate,-2
WMU,W,Glide,M,Nasal,U,Violate,-2
WNA,W,Glide,N,Nasal,A,Violate,-2
WNE,W,Glide,N,Nasal,E,Violate,-2
WNI,W,Glide,N,Nasal,I,Violate,-2
WNO,W,Glide,N,Nasal,O,Violate,-2
WNU,W,Glide,N,Nasal,U,Violate,-2
WNGA,W,Glide,NG,Nasal,A,Violate,-2
WNGE,W,Glide,NG,Nasal,E,Violate,-2
WNGI,W,Glide,NG,Nasal,I,Violate,-2
WNGO,W,Glide,NG,Nasal,O,Violate,-2
WNGU,W,Glide,NG,Nasal,U,Violate,-2
WLA,W,Glide,L,Liquid,A,Violate,-1
WLE,W,Glide,L,Liquid,E,Violate,-1
WLI,W,Glide,L,Liquid,I,Violate,-1
WLO,W,Glide,L,Liquid,O,Violate,-1
WLU,W,Glide,L,Liquid,U,Violate,-1
WRA,W,Glide,R,Liquid,A,Violate,-1
WRE,W,Glide,R,Liquid,E,Violate,-1
WRI,W,Glide,R,Liquid,I,Violate,-1
WRO,W,Glide,R,Liquid,O,Violate,-1
WRU,W,Glide,R,Liquid,U,Violate,-1
WYA,W,Glide,Y,Glide,A,Violate,0
WYE,W,Glide,Y,Glide,E,Violate,0
WYI,W,Glide,Y,Glide,I,Violate,0
WYO,W,Glide,Y,Glide,O,Violate,0
WYU,W,Glide,Y,Glide,U,Violate,0
